evidence_origin,permutation_index,null_ratio
hardware_session0,0,0.6587457121594152
hardware_session0,1,0.7868426531357811
hardware_session0,2,1.443302931589476
hardware_session0,3,1.3572384541403832
hardware_session0,4,0.6280342234311076
hardware_session0,5,1.6173595469571138
hardware_session0,6,1.5057492576873375
hardware_session0,7,1.1275598152366628
hardware_session0,8,2.3280285786224333
hardware_session0,9,0.8000017349641222
hardware_session0,10,1.1362438806059398
hardware_session0,11,1.4692447549098726
hardware_session0,12,0.9645915852750603
hardware_session0,13,1.4778404853946217
hardware_session0,14,2.2597189958695245
hardware_session0,15,2.5547499230657515
hardware_session0,16,1.5901143619568587
hardware_session0,17,0.6706383775220993
hardware_session0,18,0.4999199670456748
hardware_session0,19,1.6275714916597073
hardware_session0,20,1.1426666721455592
hardware_session0,21,0.9424716437763372
hardware_session0,22,0.7605870360058421
hardware_session0,23,0.9344558112618626
hardware_session0,24,0.4145785618312988
hardware_session0,25,1.6173648662019144
hardware_session0,26,0.6970185068337318
hardware_session0,27,0.6445915143403835
hardware_session0,28,0.9209898168733303
hardware_session0,29,0.9678999353199863
hardware_session0,30,1.7001312445472672
hardware_session0,31,0.6817211205025421
hardware_session0,32,2.123572403553353
hardware_session0,33,1.7890829561476562
hardware_session0,34,0.43526038562681957
hardware_session0,35,0.9607481833790174
hardware_session0,36,1.6646272294109594
hardware_session0,37,1.2065792782321512
hardware_session0,38,0.9615802519460245
hardware_session0,39,1.037569157747479
hardware_session0,40,0.6836933917318065
hardware_session0,41,2.0946590819820865
hardware_session0,42,1.2188846369536808
hardware_session0,43,0.9258662948550909
hardware_session0,44,1.2177598505653682
hardware_session0,45,1.5797707595254478
hardware_session0,46,0.7606378857903501
hardware_session0,47,0.6329923423434262
hardware_session0,48,0.970166840064375
hardware_session0,49,0.9033159561387013
hardware_session0,50,0.9586212678744868
hardware_session0,51,0.6484254973382892
hardware_session0,52,0.661781394224259
hardware_session0,53,0.9668715558448053
hardware_session0,54,1.8955412680202908
hardware_session0,55,0.8240715231442949
hardware_session0,56,0.527690001462729
hardware_session0,57,1.5902413064927785
hardware_session0,58,1.3575171592509097
hardware_session0,59,0.6381069550129251
hardware_session0,60,1.1132966514584408
hardware_session0,61,1.0647328325161527
hardware_session0,62,1.1963578901774579
hardware_session0,63,0.82437028691272
hardware_session0,64,0.9894201047881168
hardware_session0,65,1.0949466237280208
hardware_session0,66,0.9299419966590273
hardware_session0,67,0.6677252228362023
hardware_session0,68,1.391398127785591
hardware_session0,69,0.719969125016412
hardware_session0,70,2.110830887563948
hardware_session0,71,0.7977594027983561
hardware_session0,72,1.092792889893358
hardware_session0,73,1.4180552750265212
hardware_session0,74,2.094993807676513
hardware_session0,75,0.49514595269922157
hardware_session0,76,1.707871272671104
hardware_session0,77,1.4776087003679048
hardware_session0,78,1.2822033440028655
hardware_session0,79,0.6137555442762814
hardware_session0,80,0.6894329910160742
hardware_session0,81,1.1056304512610624
hardware_session0,82,1.4864150408165842
hardware_session0,83,0.48833548023048756
hardware_session0,84,0.7872331207721343
hardware_session0,85,0.647828441689863
hardware_session0,86,0.7713381642818323
hardware_session0,87,1.4694876514104347
hardware_session0,88,1.4530668379404796
hardware_session0,89,1.4632936301997996
hardware_session0,90,0.8083525156244334
hardware_session0,91,1.6969139693341133
hardware_session0,92,0.9006178062708302
hardware_session0,93,0.562302592322129
hardware_session0,94,1.8130662659781296
hardware_session0,95,1.303448223525543
hardware_session0,96,1.9402206788290672
hardware_session0,97,1.335379690736782
hardware_session0,98,0.8482178287509037
hardware_session0,99,1.0847497891062536
hardware_session0,100,0.853176953329897
hardware_session0,101,0.7059344244619915
hardware_session0,102,0.8511891170646619
hardware_session0,103,2.895590885050095
hardware_session0,104,1.100860201277064
hardware_session0,105,1.9268381731688369
hardware_session0,106,2.413885748903154
hardware_session0,107,0.6961411653822134
hardware_session0,108,1.032262721100209
hardware_session0,109,1.1606364587621667
hardware_session0,110,0.698473362371825
hardware_session0,111,0.7197599524284047
hardware_session0,112,1.3107656777660706
hardware_session0,113,1.330237306340378
hardware_session0,114,0.6579631439458703
hardware_session0,115,0.5632645142516165
hardware_session0,116,0.6983448139562701
hardware_session0,117,0.6728159247388243
hardware_session0,118,1.9832056727583238
hardware_session0,119,1.0167308364161427
hardware_session0,120,0.8898382078995554
hardware_session0,121,0.6769162231841171
hardware_session0,122,1.6507721363140337
hardware_session0,123,1.5669506208998645
hardware_session0,124,1.7991418873353155
hardware_session0,125,1.2859375905248642
hardware_session0,126,0.7502269903471844
hardware_session0,127,1.479919885827415
hardware_session0,128,2.218055594065667
hardware_session0,129,0.7047071541742539
hardware_session0,130,1.1074392770684653
hardware_session0,131,0.6835742845712747
hardware_session0,132,0.5595977931496573
hardware_session0,133,1.330527509919532
hardware_session0,134,1.160207966332166
hardware_session0,135,0.7077427567657637
hardware_session0,136,1.8602168351183224
hardware_session0,137,0.8531433498305201
hardware_session0,138,0.6972788096220933
hardware_session0,139,0.8586602361468392
hardware_session0,140,0.6550820758197413
hardware_session0,141,1.3360128492255174
hardware_session0,142,1.3041964394820211
hardware_session0,143,2.3524656944463422
hardware_session0,144,0.6274225902033623
hardware_session0,145,0.9191446621958117
hardware_session0,146,1.3408459255731713
hardware_session0,147,1.8833483689998929
hardware_session0,148,0.4773716920372672
hardware_session0,149,1.382121819999934
hardware_session0,150,0.7925995996832875
hardware_session0,151,0.8736685968212503
hardware_session0,152,1.6317798714681473
hardware_session0,153,0.8033106033962316
hardware_session0,154,1.1422780009675408
hardware_session0,155,1.0097311817087855
hardware_session0,156,0.4721828138820824
hardware_session0,157,1.9731093729383857
hardware_session0,158,0.8920552853118194
hardware_session0,159,0.6203315835687011
hardware_session0,160,0.42656613767388796
hardware_session0,161,0.6767963778257862
hardware_session0,162,1.0366865531083727
hardware_session0,163,0.7241801500019364
